PUF_ID,HEALTH,SWB_1,SWB_2,SWB_3,FWBscore,FWB1_1,FWB1_2,FWB1_4,FWB2_2,FSscore,ACT1_2,FINGOALS,CHANGEABLE,GOALCONF,EARNERS,VOLATILITY,SNAP,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_4,MATHARDSHIP_5,BENEFITS_1,CONNECT,DISTRESS,SELFCONTROL_2,SELFCONTROL_3,OUTLOOK_2,PEM,HOUSESAT,LIFEEXPECT,HHEDUC,PPINCIMP,PPREG4,PPREG9,fpl,agecat,generation,PPGENDER,PPMARIT,PPETHM
11222,1,5,6,5,50,3,3,3,3,41,3,1,5,3,2,2,0,1,1,1,1,1,25,4,2,2,3,6,3,70,5,3,1,1,3,6,2,2,1,4
11081,1,6,6,6,59,4,5,4,5,53,4,1,1,4,1,1,0,1,1,1,1,1,85,3,3,3,3,5,4,60,5,5,2,3,3,7,2,2,4,1
8947,0,7,6,6,61,4,4,4,4,56,4,1,3,4,1,1,0,1,1,1,1,1,95,4,3,4,5,6,4,80,5,7,4,8,3,3,3,1,1,1
8306,0,7,7,6,69,4,5,5,4,64,4,1,2,3,2,1,0,1,1,1,1,1,90,2,3,3,4,6,4,80,3,9,1,2,3,5,2,1,1,1
9915,0,5,5,4,70,4,4,4,3,58,3,1,3,3,2,1,0,1,1,1,1,1,80,4,2,3,4,6,4,85,4,9,3,7,3,4,3,2,1,3
8712,1,6,4,4,42,1,3,4,3,45,3,0,3,3,2,1,0,1,1,1,1,1,80,4,3,3,4,5,2,50,2,7,2,3,3,2,4,2,5,1
12710,0,7,5,6,73,5,4,4,5,53,5,0,2,4,1,1,0,1,1,1,1,1,95,1,3,3,5,7,4,100,3,7,3,6,3,6,2,1,1,1
10129,0,7,6,6,62,4,4,5,4,55,4,1,6,3,3,1,0,1,1,1,1,1,90,3,3,1,4,-1,4,85,5,9,1,2,3,6,2,1,1,1
11082,0,6,6,5,62,4,4,4,5,55,4,1,4,3,2,2,0,1,1,1,2,1,90,3,1,1,3,2,3,90,5,7,3,5,3,6,2,2,1,1
12298,1,5,6,7,52,4,4,4,4,56,5,1,3,4,1,1,0,1,1,1,1,1,80,5,3,3,5,6,4,60,4,6,1,1,3,3,3,1,4,1
10759,0,7,7,7,63,3,4,3,3,61,4,1,2,4,2,1,0,1,1,1,1,1,75,4,3,3,5,1,4,50,5,8,1,2,3,3,3,1,1,1
9184,0,7,3,6,50,3,3,4,3,51,4,1,4,3,2,1,0,2,2,2,1,1,50,4,3,3,4,5,4,100,3,9,1,2,3,4,2,2,1,1
8713,1,6,4,4,56,3,3,3,3,49,4,1,2,4,2,1,0,1,1,1,1,1,90,2,-1,3,3,5,4,-2,5,6,2,4,3,8,1,2,1,1
9434,1,6,2,4,50,1,2,3,3,43,3,1,4,3,2,2,0,2,1,1,1,1,90,3,3,3,3,7,4,25,2,5,3,5,3,5,2,1,1,1
10912,1,6,6,5,59,3,3,3,3,44,4,1,5,4,2,1,0,1,1,1,1,1,95,3,3,3,4,6,2,90,2,6,3,7,3,6,2,1,1,2
10130,0,7,7,5,50,3,3,3,2,41,3,0,4,3,2,2,0,1,1,1,1,1,99,2,3,3,3,2,4,80,4,9,3,5,3,6,2,2,1,1
8308,0,7,7,7,86,5,5,5,5,79,5,1,4,4,1,1,0,1,1,1,1,1,100,4,4,4,5,6,4,100,3,3,3,5,2,3,3,1,1,1
10550,1,6,5,4,50,2,3,3,3,37,3,1,4,3,2,1,0,1,1,1,1,1,5,3,3,1,1,5,3,0,3,5,4,9,3,6,2,1,1,4
8714,1,6,6,6,56,3,3,3,4,44,4,1,3,4,2,1,0,1,1,1,1,1,50,5,3,3,5,5,3,0,5,8,1,1,3,3,3,2,1,1
7314,0,6,6,6,59,4,4,4,5,61,5,1,6,4,2,1,0,1,1,1,1,1,85,4,3,3,4,5,4,90,5,8,3,5,3,3,3,2,1,1
14099,0,7,7,7,81,5,5,5,4,64,5,0,4,4,2,1,0,1,1,1,1,1,100,2,4,4,3,6,4,95,5,9,3,5,3,6,2,1,1,1
7315,1,5,5,6,43,3,4,3,3,47,3,1,5,3,2,1,0,1,1,1,1,1,50,4,3,2,3,6,3,35,4,9,3,7,3,2,4,1,1,1
12751,1,4,4,5,31,1,2,2,2,55,4,1,4,3,1,1,1,3,3,2,2,1,50,5,3,4,3,5,4,0,2,3,3,7,3,2,4,2,5,4
11499,0,5,5,6,52,3,3,3,3,48,4,1,2,3,2,1,0,1,1,1,1,1,100,4,3,4,4,2,4,70,4,9,3,5,3,4,2,1,1,1
8309,1,3,4,2,49,3,3,3,1,37,3,0,3,3,1,1,0,1,1,2,1,1,100,3,3,3,3,2,4,50,3,4,3,5,3,6,2,2,4,1
8948,0,6,6,6,83,5,5,5,5,60,5,0,2,4,2,1,0,1,1,1,1,1,75,2,3,4,2,7,4,-2,4,9,2,3,3,8,1,2,1,1
11223,0,7,4,6,70,4,4,4,5,67,4,1,3,4,2,1,0,1,1,1,1,1,9,4,3,3,5,6,4,60,5,8,3,6,3,3,3,1,1,1
14078,1,6,6,6,72,4,4,4,4,57,4,0,5,4,2,2,0,1,1,1,2,1,95,3,4,3,3,7,4,80,4,7,3,6,3,7,1,1,1,1
10551,0,6,6,7,55,3,4,4,2,55,5,1,4,4,2,2,0,1,1,1,1,1,90,4,4,4,4,7,4,80,5,9,1,2,3,5,2,2,1,1
7994,0,7,7,7,59,3,3,4,4,58,3,1,2,4,2,1,0,1,1,1,1,1,70,2,3,4,5,5,4,90,4,6,2,3,3,2,4,1,1,1
8949,1,6,6,5,67,3,2,1,4,51,4,1,2,4,2,1,0,1,1,1,1,1,90,3,2,3,3,2,3,70,5,8,3,5,3,6,2,2,1,1
7995,0,7,7,7,26,5,5,5,5,79,5,0,7,4,1,1,0,2,2,2,2,1,0,4,4,4,5,7,4,100,2,1,4,9,1,3,3,1,4,1
10552,1,6,6,7,55,4,3,3,3,42,5,1,4,3,1,1,0,1,1,1,1,1,100,2,3,3,3,6,4,-2,4,8,1,2,3,8,1,2,1,1
11224,0,7,7,7,86,5,5,5,5,77,5,1,2,4,2,1,0,1,1,1,1,0,98,2,3,4,4,3,4,100,5,9,4,8,3,8,1,1,2,1
8519,1,5,5,5,78,4,4,4,3,46,4,1,4,3,1,1,0,1,1,1,1,1,80,2,3,3,3,5,3,76,5,8,2,3,3,6,2,1,1,1
7225,0,3,5,6,66,5,4,4,5,59,4,1,3,4,2,1,0,1,1,1,1,1,75,3,3,4,3,5,2,100,5,9,3,5,3,3,3,2,1,1
9916,0,7,6,6,62,4,3,4,4,46,3,-1,2,4,2,1,0,1,1,1,1,1,50,2,2,3,4,6,4,90,4,4,3,5,3,7,1,1,1,1
11225,1,6,6,6,62,4,3,4,4,56,4,1,2,4,2,1,0,1,1,1,1,1,90,5,3,3,5,2,4,40,5,9,2,4,3,2,4,2,1,1
10131,0,6,5,4,47,3,3,3,3,42,3,0,3,3,2,2,0,1,1,1,1,1,50,2,3,3,3,6,3,100,2,5,3,5,3,5,2,1,1,1
9435,1,7,6,5,72,4,4,4,5,64,5,0,2,4,2,1,0,1,1,1,1,1,100,2,4,3,2,2,4,100,3,3,2,3,3,7,1,2,1,1
8715,1,6,6,6,50,3,2,3,5,41,2,1,5,2,3,1,0,1,1,1,1,1,60,4,2,3,3,5,4,40,5,9,3,5,3,4,3,1,4,4
